"t","x","y","z","Absolute"
1.608083875E0,-9.924362183E-2,7.304809570E-2,9.829758911E0,9.830531297E0
1.618125875E0,-9.984237671E-2,7.229965210E-2,9.840835876E0,9.841607922E0
1.628166875E0,-1.067280579E-1,7.155120850E-2,9.834399261E0,9.835238649E0
1.638208875E0,-1.076261902E-1,6.765930176E-2,9.841135254E0,9.841956323E0
1.648249875E0,-1.071771240E-1,6.915618896E-2,9.833052063E0,9.833879315E0
1.658291875E0,-1.106199646E-1,6.721023560E-2,9.832752686E0,9.833604597E0
1.668332875E0,-1.088237000E-1,8.128097534E-2,9.837542725E0,9.838480373E0
1.678375458E0,-1.083746338E-1,7.873626709E-2,9.851912842E0,9.852823509E0
1.688416458E0,-1.046324158E-1,7.753875732E-2,9.837692413E0,9.838554377E0
1.698458458E0,-1.204994202E-1,7.634124756E-2,9.835297394E0,9.836331782E0
1.708499458E0,-1.191522217E-1,8.128097534E-2,9.830956421E0,9.832014443E0
1.718541458E0,-1.128652954E-1,7.664062500E-2,9.841284943E0,9.842230524E0
1.728582458E0,-1.112187195E-1,7.544311523E-2,9.829908600E0,9.830827246E0
1.738624458E0,-1.142124939E-1,6.571334839E-2,9.846074982E0,9.846956651E0
1.748665458E0,-1.086740112E-1,6.900650024E-2,9.834399261E0,9.835241775E0
1.758707458E0,-1.017883301E-1,7.694000244E-2,9.838590546E0,9.839417897E0
1.768748458E0,-9.385482788E-2,7.993377686E-2,9.844727783E0,9.845499645E0
1.778790458E0,-9.205856323E-2,8.083190918E-2,9.830806732E0,9.831570047E0
1.788831458E0,-9.864486694E-2,8.487350464E-2,9.841284943E0,9.842145276E0
1.798873458E0,-9.789642334E-2,6.242019653E-2,9.842033386E0,9.842718180E0
1.808914458E0,-1.082249451E-1,5.807922363E-2,9.837243347E0,9.838010089E0
1.818956458E0,-1.116677856E-1,6.077362061E-2,9.831405487E0,9.832227468E0
1.828997458E0,-1.204994202E-1,6.047424316E-2,9.842332764E0,9.843256142E0
1.839039458E0,-1.140628052E-1,6.541397095E-2,9.846973114E0,9.847850975E0
1.849080458E0,-1.184037781E-1,7.828720093E-2,9.834399261E0,9.835423589E0
1.859122458E0,-1.128652954E-1,7.738906860E-2,9.834399261E0,9.835351365E0
1.869163458E0,-1.116677856E-1,8.352630615E-2,9.845027161E0,9.846014733E0
1.879205458E0,-9.819580078E-2,8.906478882E-2,9.841734009E0,9.842626847E0
1.889246458E0,-1.023870850E-1,7.903564453E-2,9.837542725E0,9.838392989E0
1.899288458E0,-1.044827271E-1,6.900650024E-2,9.837692413E0,9.838489242E0
1.909329458E0,-1.079255676E-1,6.301895142E-2,9.834399261E0,9.835193346E0
1.919371458E0,-1.034349060E-1,6.496490479E-2,9.835896149E0,9.836654526E0
1.929412458E0,-1.016386414E-1,6.227050781E-2,9.828711090E0,9.829433845E0
1.939454458E0,-1.149609375E-1,6.017486572E-2,9.833052063E0,9.833908170E0
1.949495458E0,-1.125659180E-1,7.918533325E-2,9.835596771E0,9.836559625E0
1.959537458E0,-1.020877075E-1,7.963439941E-2,9.842632141E0,9.843483682E0
1.969578458E0,-1.071771240E-1,8.083190918E-2,9.834249573E0,9.835165753E0
1.979620458E0,-1.044827271E-1,8.996292114E-2,9.842332764E0,9.843298441E0
1.989661458E0,-1.050814819E-1,8.801696777E-2,9.833950195E0,9.834905467E0
1.999703458E0,-1.049317932E-1,8.876541138E-2,9.833650818E0,9.834611247E0
2.009744458E0,-1.043330383E-1,8.038284302E-2,9.836045837E0,9.836927595E0
2.019786458E0,-1.200503540E-1,5.748046875E-2,9.833052063E0,9.833952866E0
2.029827458E0,-1.254391479E-1,5.882766724E-2,9.833052063E0,9.834028094E0
2.039868458E0,-1.119671631E-1,5.523513794E-2,9.834698639E0,9.835491085E0
2.049910458E0,-1.169068909E-1,6.825805664E-2,9.834848328E0,9.835779990E0
2.059951458E0,-1.209484863E-1,6.960525513E-2,9.837991791E0,9.838981446E0
2.069993458E0,-1.091230774E-1,8.098159790E-2,9.840237122E0,9.841175360E0
2.080034458E0,-9.669891357E-2,9.101074219E-2,9.821825409E0,9.822723044E0
2.090076458E0,-1.013392639E-1,9.086105347E-2,9.842781830E0,9.843722849E0
2.100117458E0,-1.010398865E-1,8.247848511E-2,9.838141479E0,9.839006023E0
2.110159458E0,-1.234931946E-1,7.334747314E-2,9.839937744E0,9.840985989E0
2.120200458E0,-1.200503540E-1,6.661148071E-2,9.832902374E0,9.833860802E0
2.130242458E0,-1.257385254E-1,6.002517700E-2,9.835746460E0,9.836733280E0
2.140283458E0,-1.131646729E-1,5.942642212E-2,9.831255798E0,9.832086671E0
2.150325458E0,-1.080752563E-1,7.050338745E-2,9.832303619E0,9.833150332E0
2.160366458E0,-9.969268799E-2,7.574249268E-2,9.837093658E0,9.837890384E0
2.170408458E0,-1.004411316E-1,8.622070312E-2,9.837243347E0,9.838133924E0
2.180449458E0,-1.121168518E-1,8.187973022E-2,9.834249573E0,9.835229491E0
2.190491458E0,-1.085243225E-1,8.607101440E-2,9.834848328E0,9.835823676E0
2.200532458E0,-1.103205872E-1,7.753875732E-2,9.834698639E0,9.835623021E0
2.210574458E0,-1.184037781E-1,7.200027466E-2,9.839189301E0,9.840165120E0
2.220615458E0,-1.221459961E-1,7.364685059E-2,9.833950195E0,9.834984491E0
2.230657458E0,-1.119671631E-1,6.631210327E-2,9.825567627E0,9.826429318E0
2.240698458E0,-1.116677856E-1,6.167175293E-2,9.833650818E0,9.834478202E0
2.250740458E0,-1.041833496E-1,6.556365967E-2,9.833052063E0,9.833822534E0
2.260781458E0,-1.014889526E-1,7.619155884E-2,9.834249573E0,9.835068369E0
2.270823458E0,-1.010398865E-1,7.604187012E-2,9.835147705E0,9.835960645E0
2.280864458E0,-1.007405090E-1,8.038284302E-2,9.833201752E0,9.834046306E0
2.290906458E0,-1.103205872E-1,7.903564453E-2,9.834698639E0,9.835634935E0
2.300947458E0,-1.188528442E-1,7.574249268E-2,9.840835876E0,9.841845034E0
2.310989458E0,-1.175056458E-1,8.143066406E-2,9.838889923E0,9.839928529E0
2.321030458E0,-1.204994202E-1,7.574249268E-2,9.834698639E0,9.835728461E0
2.331072458E0,-1.139131165E-1,7.544311523E-2,9.828112335E0,9.829062007E0
2.341113458E0,-1.106199646E-1,7.604187012E-2,9.846673737E0,9.847588680E0
2.351155458E0,-1.031355286E-1,7.933502197E-2,9.836794281E0,9.837654838E0
2.361196458E0,-1.035845947E-1,8.262817383E-2,9.833950195E0,9.834842837E0
2.371238458E0,-9.909393311E-2,6.631210327E-2,9.834548950E0,9.835271728E0
2.381279458E0,-1.097218323E-1,6.511459351E-2,9.833501129E0,9.834328815E0
2.391321458E0,-1.082249451E-1,6.885681152E-2,9.839937744E0,9.840773786E0
2.401362458E0,-1.164578247E-1,6.915618896E-2,9.829160156E0,9.830093305E0
2.411404458E0,-1.248403931E-1,7.364685059E-2,9.831555176E0,9.832623564E0
2.421445458E0,-1.196012878E-1,7.963439941E-2,9.834399261E0,9.835448894E0
2.431487458E0,-1.080752563E-1,8.143066406E-2,9.836794281E0,9.837724988E0
2.441528458E0,-1.142124939E-1,8.083190918E-2,9.836195526E0,9.837190692E0
2.451570458E0,-1.124162292E-1,7.574249268E-2,9.831255798E0,9.832190240E0
2.461611458E0,-1.044827271E-1,7.963439941E-2,9.844428406E0,9.845304917E0
2.471653458E0,-1.002914429E-1,7.484436035E-2,9.842632141E0,9.843427631E0
2.481694458E0,-1.046324158E-1,6.721023560E-2,9.839937744E0,9.840723549E0
2.491736458E0,-1.065783691E-1,7.214996338E-2,9.839638367E0,9.840480057E0
2.501777458E0,-1.109193420E-1,6.706054688E-2,9.838141479E0,9.838995273E0
2.511819458E0,-1.080752563E-1,6.900650024E-2,9.835447083E0,9.836282909E0
2.521860458E0,-1.025367737E-1,6.795867920E-2,9.833201752E0,9.833971164E0
2.531902458E0,-1.098715210E-1,7.559280396E-2,9.839788055E0,9.840691795E0
2.541943458E0,-1.118174744E-1,7.828720093E-2,9.834099884E0,9.835047156E0
