,time,position_y,position_pro_y
3388,2023-10-24 11:02:03.448000000,0.07478207575757612,1
3389,2023-10-24 11:02:03.463000064,0.07974275757575722,1
3390,2023-10-24 11:02:03.476000000,0.0845858712121208,1
3391,2023-10-24 11:02:03.490000128,0.08911528787878797,1
3392,2023-10-24 11:02:03.504000000,0.09349031060606094,1
3393,2023-10-24 11:02:03.517999872,0.09768113636363651,1
3394,2023-10-24 11:02:03.530999808,0.10190686363636292,1
3395,2023-10-24 11:02:03.545000192,0.10614137878787844,1
3396,2023-10-24 11:02:03.559000064,0.11033693181818194,1
3397,2023-10-24 11:02:03.572999936,0.11436059848484792,1
3398,2023-10-24 11:02:03.586999808,0.11822321969696947,1
3399,2023-10-24 11:02:03.601000192,0.12189149242424246,1
3400,2023-10-24 11:02:03.615000064,0.12530318939393847,1
3401,2023-10-24 11:02:03.628999936,0.12843966666666606,1
3402,2023-10-24 11:02:03.641999872,0.13119991666666664,1
3403,2023-10-24 11:02:03.657000192,0.13349665909090902,1
3404,2023-10-24 11:02:03.671000064,0.1354155681818181,1
3405,2023-10-24 11:02:03.684000000,0.1369392954545452,1
3406,2023-10-24 11:02:03.697999872,0.13816788636363686,1
3407,2023-10-24 11:02:03.712000000,0.13900948484848463,1
3408,2023-10-24 11:02:03.726000128,0.13936123484848473,1
3409,2023-10-24 11:02:03.740000000,0.13921936363636433,1
3410,2023-10-24 11:02:03.753999872,0.1388276060606053,1
3411,2023-10-24 11:02:03.768000000,0.13822409090909105,1
3412,2023-10-24 11:02:03.780999936,0.13741596969696968,1
3413,2023-10-24 11:02:03.795000064,0.13630811363636308,1
3414,2023-10-24 11:02:03.809999872,0.1349960227272735,1
3415,2023-10-24 11:02:03.824000000,0.1334651590909095,1
3416,2023-10-24 11:02:03.836999936,0.1318312954545453,1
3417,2023-10-24 11:02:03.851000064,0.13015415151515164,1
3418,2023-10-24 11:02:03.864999936,0.12852006818181838,1
3419,2023-10-24 11:02:03.878000128,0.1269214772727274,1
3420,2023-10-24 11:02:03.892999936,0.12564453787878715,1
3421,2023-10-24 11:02:03.907000064,0.12460053030303087,1
3422,2023-10-24 11:02:03.920999936,0.1237129318181811,1
3423,2023-10-24 11:02:03.934000128,0.12276451515151532,1
3424,2023-10-24 11:02:03.948000000,0.12270614393939372,1
3425,2023-10-24 11:02:03.961999872,0.12355128030302964,1
3426,2023-10-24 11:02:03.976000000,0.12498694696969714,1
3427,2023-10-24 11:02:03.990000128,0.12668137878787888,1
3428,2023-10-24 11:02:04.004000000,0.12886878787878775,1
3429,2023-10-24 11:02:04.017999872,0.13194940151515144,1
3430,2023-10-24 11:02:04.030999808,0.1356932878787882,1
3431,2023-10-24 11:02:04.045000192,0.13982072727272765,1
3432,2023-10-24 11:02:04.059000064,0.14444612878787755,1
3433,2023-10-24 11:02:04.072999936,0.14968253787878716,1
3434,2023-10-24 11:02:04.088999936,0.15521893181818225,1
3435,2023-10-24 11:02:04.101000192,0.16097343181818236,1
3436,2023-10-24 11:02:04.114000128,0.1667077348484849,1
3437,2023-10-24 11:02:04.128999936,0.17218425757575773,1
3438,2023-10-24 11:02:04.142999808,0.17762126515151433,1
3439,2023-10-24 11:02:04.157000192,0.1831062954545457,1
3440,2023-10-24 11:02:04.171000064,0.18853840151515122,1
3441,2023-10-24 11:02:04.184000000,0.19394007575757488,1
3442,2023-10-24 11:02:04.197999872,0.19916679545454485,1
3443,2023-10-24 11:02:04.212000000,0.20419086363636296,1
3444,2023-10-24 11:02:04.226000128,0.20913506060606135,1
3445,2023-10-24 11:02:04.240000000,0.21392401515151516,1
3446,2023-10-24 11:02:04.253999872,0.21847411363636393,1
3447,2023-10-24 11:02:04.268000000,0.22268735606060552,1
3448,2023-10-24 11:02:04.280999936,0.22658584848484864,1
3449,2023-10-24 11:02:04.295000064,0.23016718939393943,1
3450,2023-10-24 11:02:04.308999936,0.23342090909090896,1
3451,2023-10-24 11:02:04.324000000,0.2361942121212115,1
3452,2023-10-24 11:02:04.338000128,0.23849789393939425,1
3453,2023-10-24 11:02:04.351000064,0.2402953484848478,1
3454,2023-10-24 11:02:04.364999936,0.2415464924242423,1
3455,2023-10-24 11:02:04.379000064,0.24229990909090926,1
3456,2023-10-24 11:02:04.392999936,0.24254844696969613,1
3457,2023-10-24 11:02:04.407000064,0.24235585606060717,1
3458,2023-10-24 11:02:04.420999936,0.24170850757575746,1
3459,2023-10-24 11:02:04.434000128,0.24070376515151448,1
3460,2023-10-24 11:02:04.448000000,0.2392777575757581,1
3461,2023-10-24 11:02:04.461999872,0.23745886363636348,1
3462,2023-10-24 11:02:04.476000000,0.23529735606060598,1
3463,2023-10-24 11:02:04.490000128,0.23282198484848582,1
3464,2023-10-24 11:02:04.504000000,0.230063151515151,1
3465,2023-10-24 11:02:04.516999936,0.22717140909090894,1
3466,2023-10-24 11:02:04.530999808,0.2242276136363639,1
3467,2023-10-24 11:02:04.545000192,0.22124760606060523,1
3468,2023-10-24 11:02:04.560000000,0.21834746212121292,1
3469,2023-10-24 11:02:04.573999872,0.21551068181818245,1
3470,2023-10-24 11:02:04.586999808,0.21278140151515235,1
3471,2023-10-24 11:02:04.601000192,0.21021419696969712,1
3472,2023-10-24 11:02:04.615000064,0.2079925303030299,1
3473,2023-10-24 11:02:04.628999936,0.20622977272727283,1
3474,2023-10-24 11:02:04.642999808,0.20486546969697006,1
3475,2023-10-24 11:02:04.657000192,0.2038409924242428,1
3476,2023-10-24 11:02:04.671000064,0.20319868181818102,1
3477,2023-10-24 11:02:04.684999936,0.20265044696969703,1
3478,2023-10-24 11:02:04.697999872,0.20306300757575801,1
3479,2023-10-24 11:02:04.712000000,0.2046475075757579,1
3480,2023-10-24 11:02:04.726000128,0.20698794696969625,1
3481,2023-10-24 11:02:04.740000000,0.20940686363636374,1
3482,2023-10-24 11:02:04.753999872,0.21223662121212072,1
3483,2023-10-24 11:02:04.767000064,0.2154016287878786,1
3484,2023-10-24 11:02:04.780999936,0.21839954545454532,1
3485,2023-10-24 11:02:04.796000000,0.22141587878787927,1
3486,2023-10-24 11:02:04.809999872,0.22437393181818255,1
3487,2023-10-24 11:02:04.823000064,0.22719328787878812,1
3488,2023-10-24 11:02:04.836999936,0.2298823939393948,1
3489,2023-10-24 11:02:04.851000064,0.23247601515151572,1
3490,2023-10-24 11:02:04.864999936,0.2349576666666673,1
3491,2023-10-24 11:02:04.879000064,0.23728607575757632,1
3492,2023-10-24 11:02:04.892999936,0.23953167424242494,1
3493,2023-10-24 11:02:04.907000064,0.24166422727272785,1
3494,2023-10-24 11:02:04.920999936,0.2436521060606065,1
3495,2023-10-24 11:02:04.935000064,0.2456277878787887,1
3496,2023-10-24 11:02:04.948999936,0.24757055303030295,1
3497,2023-10-24 11:02:04.963000064,0.2494470757575762,1
3498,2023-10-24 11:02:04.976000000,0.2511719393939398,1
3499,2023-10-24 11:02:04.990000128,0.25260125757575747,1
3500,2023-10-24 11:02:05.004000000,0.25380499242424115,1
3501,2023-10-24 11:02:05.017999872,0.2547512878787872,1
3502,2023-10-24 11:02:05.030999808,0.2554640227272724,1
3503,2023-10-24 11:02:05.045000192,0.25583496212121304,1
3504,2023-10-24 11:02:05.059000064,0.25586679545454505,1
3505,2023-10-24 11:02:05.072999936,0.2554961212121212,1
3506,2023-10-24 11:02:05.086999808,0.25466872727272616,1
3507,2023-10-24 11:02:05.101000192,0.25344295454545485,1
3508,2023-10-24 11:02:05.115000064,0.2517975909090904,1
3509,2023-10-24 11:02:05.128999936,0.24980777272727206,1
3510,2023-10-24 11:02:05.142999808,0.24742449242424236,1
