"t","p"
2.080797994E1,9.879796753E2
2.084798098E1,9.879537354E2
2.088797926E1,9.879798584E2
2.092797822E1,9.879900513E2
2.096798098E1,9.879898682E2
2.100798072E1,9.880238647E2
2.104798327E1,9.880006714E2
2.108797999E1,9.880287476E2
2.112798484E1,9.880032349E2
2.116798213E1,9.880314941E2
2.120798239E1,9.880109253E2
2.124798072E1,9.880187378E2
2.128798072E1,9.880109253E2
2.132797937E1,9.880240479E2
2.136797916E1,9.880187378E2
2.140798286E1,9.879956055E2
2.144797723E1,9.879511719E2
2.148798333E1,9.879796753E2
2.152797765E1,9.879849854E2
2.156798338E1,9.880162354E2
2.160797843E1,9.879616089E2
2.164798619E1,9.879694824E2
2.168798254E1,9.879900513E2
2.172797984E1,9.880006714E2
2.176797843E1,9.879771118E2
2.180797973E1,9.879643555E2
2.184797905E1,9.879822388E2
2.188798072E1,9.879747925E2
2.192798411E1,9.879902954E2
2.196797968E1,9.879875488E2
2.200797780E1,9.879924316E2
2.204798265E1,9.879771118E2
2.208798030E1,9.879928589E2
2.212797905E1,9.879771118E2
2.216797994E1,9.879771118E2
2.220798442E1,9.879694824E2
2.224798379E1,9.879616089E2
2.228798041E1,9.879692383E2
2.232797958E1,9.879616089E2
2.236798155E1,9.879926147E2
2.240798046E1,9.879796753E2
2.244798364E1,9.879928589E2
2.248798041E1,9.879796753E2
2.252798598E1,9.880004883E2
2.256798213E1,9.879979248E2
2.260798775E1,9.879719849E2
2.264797796E1,9.879875488E2
2.268798301E1,9.879745483E2
2.272798676E1,9.880158081E2
2.276798098E1,9.879902954E2
2.280797942E1,9.879875488E2
2.284798306E1,9.880106812E2
2.288798385E1,9.879822388E2
2.292797911E1,9.880006714E2
2.296798062E1,9.879743652E2
2.300797937E1,9.879953613E2
2.304798353E1,9.879849854E2
2.308797994E1,9.880032349E2
2.312798025E1,9.879719849E2
2.316797744E1,9.879692383E2
2.320798432E1,9.879773560E2
2.324797869E1,9.879718018E2
2.328798150E1,9.880162354E2
2.332797812E1,9.879924316E2
2.336798020E1,9.880056152E2
2.340798275E1,9.879849854E2
2.344798806E1,9.880291748E2
2.348798869E1,9.880185547E2
2.352798166E1,9.880396118E2
2.356797994E1,9.879875488E2
2.360797739E1,9.879928589E2
2.364800588E1,9.879745483E2
2.368798687E1,9.880030518E2
2.372798775E1,9.879824219E2
2.376798176E1,9.879771118E2
2.380798187E1,9.879564819E2
2.384799166E1,9.879616089E2
2.388798176E1,9.880057983E2
2.392798390E1,9.879745483E2
2.396797978E1,9.880004883E2
